"* Required Fields","* فیلدهای الزامی"
"Comment","نظر"
"Contact Form","فرم تماس"
"Contact Information","اطلاعات تماس"
"Contact Us","تماس با ما"
"Contact Us Form","فرم تماس با ما"
"Contacts","تماس ها"
"Contacts Section","بخش تماس ها"
"Email","ایمیل"
"Email Options","گزینه های ایمیل"
"Email Sender","ایمیل ارسال کننده"
"Email Template","قالب ایمیل"
"Enable Contact Us","فعال کردن تماس با ما"
"Name","نام"
"Send Emails To","ارسال ایمیل به"
"Submit","ارسال"
"Phone","تلفن"
"Unable to submit your request. Please, try again later","درخواست شما انجام نشد. لطفا، بعدا دوباره تلاش کنید"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","درخواست شما ارسال شد و به زودی پاسخ خواهیم داد. از تماس شما متشکریم."
